ISO3,Date,Cumulative_cases,Cumulative_deaths
ATG,2023-09,9106,146
ATG,2023-10,9106,146
ATG,2023-11,9106,146
ATG,2023-12,9106,146
ATG,2024-01,9106,146
ATG,2024-02,9106,146
ATG,2024-03,9106,146
ATG,2024-04,9106,146
ATG,2024-05,9106,146
ATG,2024-06,9106,146
AUS,2020-01,4,0
AUS,2020-02,22,0
AUS,2020-03,3809,16
AUS,2020-04,6703,85
AUS,2020-05,7185,107
AUS,2020-06,7641,108
AUS,2020-07,13950,174
AUS,2020-08,25547,724
AUS,2020-09,27016,887
AUS,2020-10,27499,914
AUS,2020-11,27885,918
AUS,2020-12,28296,920
AUS,2021-01,28811,923
AUS,2021-02,28970,924
AUS,2021-03,29260,925
AUS,2021-04,29666,928
AUS,2021-05,30098,928
AUS,2021-06,30835,928
AUS,2021-07,33795,940
AUS,2021-08,55661,1032
AUS,2021-09,104150,1312
AUS,2021-10,173984,1866
AUS,2021-11,211425,2166
AUS,2021-12,366607,2377
AUS,2022-01,2323136,4469
AUS,2022-02,3016833,6052
AUS,2022-03,4167400,6631
AUS,2022-04,5518613,7594
AUS,2022-05,6997248,9204
AUS,2022-06,7777035,10578
AUS,2022-07,8915145,12998
AUS,2022-08,9617238,14831
AUS,2022-09,9855289,15616
AUS,2022-10,10022851,16093
AUS,2022-11,10267904,16652
AUS,2022-12,10694041,17816
AUS,2023-01,10971501,18910
AUS,2023-02,11043231,20346
AUS,2023-03,11125968,20683
AUS,2023-04,11265591,21341
AUS,2023-05,11405845,22070
AUS,2023-06,11517612,22770
AUS,2023-07,11561520,22779
AUS,2023-08,11582416,23015
AUS,2023-09,11603146,23169
AUS,2023-10,11630496,23449
AUS,2023-11,11669557,23793
AUS,2023-12,11721535,24344
AUS,2024-01,11762242,24657
AUS,2024-02,11793119,24883
AUS,2024-03,11823639,25039
AUS,2024-04,11841523,25186
AUS,2024-05,11861161,25236
AUS,2024-06,11861161,25236
AUT,2020-01,0,0
AUT,2020-02,0,0
AUT,2020-03,4946,66
AUT,2020-04,11980,516
AUT,2020-05,13396,658
AUT,2020-06,14307,719
AUT,2020-07,17093,754
AUT,2020-08,23671,812
AUT,2020-09,39129,889
AUT,2020-10,76114,1162
AUT,2020-11,271456,3849
AUT,2020-12,344732,7049
AUT,2021-01,405558,9278
AUT,2021-02,448598,10309
AUT,2021-03,524181,11175
AUT,2021-04,596850,12159
AUT,2021-05,634135,12789
AUT,2021-06,640498,12940
AUT,2021-07,646444,13005
AUT,2021-08,674984,13095
AUT,2021-09,725512,13338
AUT,2021-10,816962,13828
AUT,2021-11,1124509,15160
AUT,2021-12,1252088,16587
AUT,2022-01,1799543,17079
AUT,2022-02,2640416,17790
AUT,2022-03,3717601,18724
AUT,2022-04,4114550,19556
AUT,2022-05,4263234,19866
AUT,2022-06,4399333,19970
AUT,2022-07,4765609,20331
AUT,2022-08,4921655,20602
AUT,2022-09,5062434,20753
AUT,2022-10,5431543,21143
AUT,2022-11,5543813,21351
AUT,2022-12,5678345,21571
AUT,2023-01,5772271,21858
AUT,2023-02,5897226,22043
AUT,2023-03,6021781,22274
AUT,2023-04,6064827,22451
AUT,2023-05,6076404,22508
AUT,2023-06,6080775,22534
AUT,2023-07,6081287,22534
AUT,2023-08,6081287,22534
AUT,2023-09,6081287,22534
AUT,2023-10,6081287,22534
AUT,2023-11,6081617,22534
AUT,2023-12,6082170,22534
AUT,2024-01,6082292,22534
AUT,2024-02,6082330,22534
AUT,2024-03,6082339,22534
AUT,2024-04,6082339,22534
AUT,2024-05,6082339,22534
AUT,2024-06,6082339,22534
AZE,2020-01,0,0
AZE,2020-02,0,0
AZE,2020-03,147,3
AZE,2020-04,1592,21
AZE,2020-05,4989,58
AZE,2020-06,15369,187
AZE,2020-07,29312,400
AZE,2020-08,35986,527
AZE,2020-09,39787,583
AZE,2020-10,48221,656
AZE,2020-11,109813,1291
AZE,2020-12,211764,2416
AZE,2021-01,229935,3119
AZE,2021-02,233989,3213
AZE,2021-03,254370,3464
AZE,2021-04,311465,4342
AZE,2021-05,333723,4903
AZE,2021-06,335796,4967
AZE,2021-07,340057,5002
AZE,2021-08,413986,5512
AZE,2021-09,479814,6433
AZE,2021-10,529109,7049
AZE,2021-11,584121,7789
AZE,2021-12,614119,8284
AZE,2022-01,651341,8700
AZE,2022-02,784260,9378
AZE,2022-03,791695,9679
AZE,2022-04,792476,9707
AZE,2022-05,792757,9712
AZE,2022-06,793140,9717
AZE,2022-07,798404,9747
AZE,2022-08,811559,9805
AZE,2022-09,820662,9903
AZE,2022-10,823202,9944
AZE,2022-11,824193,9976
AZE,2022-12,825893,10006
AZE,2023-01,827880,10081
AZE,2023-02,828492,10116
AZE,2023-03,829345,10160
AZE,2023-04,831354,10241
AZE,2023-05,831812,10273
AZE,2023-06,831896,10281
AZE,2023-07,832004,10289
AZE,2023-08,832071,10295
AZE,2023-09,832809,10321
AZE,2023-10,833955,10353
AZE,2023-11,834050,10353
AZE,2023-12,834254,10353
AZE,2024-01,834470,10353
AZE,2024-02,834916,10353
AZE,2024-03,835272,10353
AZE,2024-04,835349,10353
AZE,2024-05,835424,10353
AZE,2024-06,835468,10353
BDI,2020-01,0,0
BDI,2020-02,0,0
BDI,2020-03,0,0
BDI,2020-04,15,1
BDI,2020-05,63,1
BDI,2020-06,170,1
BDI,2020-07,345,1
BDI,2020-08,445,1
BDI,2020-09,484,1
BDI,2020-10,556,1
BDI,2020-11,688,1
BDI,2020-12,809,2
BDI,2021-01,1635,2
BDI,2021-02,2217,3
BDI,2021-03,2767,6
BDI,2021-04,3874,6
BDI,2021-05,4790,6
BDI,2021-06,5423,8
BDI,2021-07,6573,8
BDI,2021-08,12529,10
BDI,2021-09,17505,14
BDI,2021-10,20087,14
BDI,2021-11,20402,14
BDI,2021-12,26999,14
BDI,2022-01,37379,14
BDI,2022-02,38102,15
BDI,2022-03,38463,15
BDI,2022-04,39144,15
BDI,2022-05,42034,15
BDI,2022-06,42593,15
BDI,2022-07,46151,15
BDI,2022-08,49258,15
BDI,2022-09,50129,15
BDI,2022-10,50470,15
BDI,2022-11,51018,15
BDI,2022-12,52051,15
BDI,2023-01,53492,15
BDI,2023-02,53646,15
BDI,2023-03,53686,15
BDI,2023-04,53731,15
BDI,2023-05,53762,15
BDI,2023-06,54142,15
BDI,2023-07,54234,15
BDI,2023-08,54239,15
BDI,2023-09,54366,15
BDI,2023-10,54366,15
BDI,2023-11,54382,15
BDI,2023-12,54461,15
BDI,2024-01,54562,15
BDI,2024-02,54566,15
BDI,2024-03,54569,15
BDI,2024-04,54569,15
BDI,2024-05,54569,15
BDI,2024-06,54569,15
BEL,2020-01,0,0
BEL,2020-02,1,0
BEL,2020-03,12031,751
BEL,2020-04,47500,7151
BEL,2020-05,58854,9393
BEL,2020-06,61692,9697
BEL,2020-07,66559,9782
BEL,2020-08,85084,9987
BEL,2020-09,115108,10083
BEL,2020-10,337836,10887
BEL,2020-11,577740,16685
BEL,2020-12,638760,19374
BEL,2021-01,706478,21308
BEL,2021-02,766011,22291
BEL,2021-03,864483,23024
BEL,2021-04,969078,24104
BEL,2021-05,1055987,25038
BEL,2021-06,1077022,25273
BEL,2021-07,1107036,25331
BEL,2021-08,1171610,25478
BEL,2021-09,1227539,25669
BEL,2021-10,1367535,26127
BEL,2021-11,1727544,26991
BEL,2021-12,2048110,28192
BEL,2022-01,3128165,29024
BEL,2022-02,3555280,30102
BEL,2022-03,3804794,30665
BEL,2022-04,4037867,31312
BEL,2022-05,4155098,31700
BEL,2022-06,4226104,31858
BEL,2022-07,4427811,32224
BEL,2022-08,4486375,32479
BEL,2022-09,4536972,32620
BEL,2022-10,4620504,32881
BEL,2022-11,4641618,33019
BEL,2022-12,4679472,33240
BEL,2023-01,4699228,33537
BEL,2023-02,4728811,33713
BEL,2023-03,4773557,33988
BEL,2023-04,4795098,34217
BEL,2023-05,4800005,34307
BEL,2023-06,4801652,34338
BEL,2023-07,4802740,34339
BEL,2023-08,4806927,34339
BEL,2023-09,4816556,34339
BEL,2023-10,4826730,34339
BEL,2023-11,4832603,34339
BEL,2023-12,4848745,34339
BEL,2024-01,4856146,34339
